,side,quantity,price.amount,pv_level,pv_level_cum
225,ask,329,118.6,39019.4,10184022.39
226,ask,36,118.64,4271.04,10188293.43
227,ask,5,118.65,593.25,10188886.68
228,ask,50,118.67,5933.5,10194820.18
229,ask,40,118.7,4748.0,10199568.18
230,ask,1,118.71,118.71,10199686.89
231,ask,7,118.75,831.25,10200518.14
232,ask,100,118.76,11876.0,10212394.14
233,ask,1409,118.8,167389.19999999998,10379783.34
234,ask,100,118.86,11886.0,10391669.34
235,ask,30,118.87,3566.1000000000004,10395235.44
236,ask,2880,118.88,342374.39999999997,10737609.84
237,ask,120,118.9,14268.0,10751877.84
238,ask,60,118.91,7134.599999999999,10759012.44
239,ask,30,118.94,3568.2,10762580.639999999
240,ask,279,118.98,33195.42,10795776.059999999
241,ask,1937,119.0,230503.0,11026279.059999999
242,ask,51,119.03,6070.53,11032349.589999998
243,ask,10,119.05,1190.5,11033540.089999998
244,ask,5,119.08,595.4,11034135.489999998
245,ask,1,119.09,119.09,11034254.579999998
246,ask,11,119.1,1310.1,11035564.679999998
247,ask,5,119.14,595.7,11036160.379999997
248,ask,45,119.2,5364.0,11041524.379999997
249,ask,35,119.24,4173.4,11045697.779999997
250,ask,20,119.28,2385.6,11048083.379999997
251,ask,2043,119.3,243729.9,11291813.279999997
252,ask,5,119.38,596.9,11292410.179999998
253,ask,10,119.4,1194.0,11293604.179999998
254,ask,100,119.44,11944.0,11305548.179999998
255,ask,228,119.5,27246.0,11332794.179999998
256,ask,4,119.58,478.32,11333272.499999998
257,ask,4,119.59,478.36,11333750.859999998
258,ask,35,119.6,4186.0,11337936.859999998
259,ask,150,119.62,17943.0,11355879.859999998
260,ask,2,119.64,239.28,11356119.139999997
261,ask,50,119.66,5983.0,11362102.139999997
262,ask,1,119.7,119.7,11362221.839999996
263,ask,20,119.74,2394.7999999999997,11364616.639999997
264,ask,50,119.75,5987.5,11370604.139999997
265,ask,175,119.8,20965.0,11391569.139999997
266,ask,230,119.88,27572.399999999998,11419141.539999997
267,ask,106,119.89,12708.34,11431849.879999997
268,ask,4361,119.9,522883.9,11954733.779999997
269,ask,1,119.91,119.91,11954853.689999998
270,ask,125,119.94,14992.5,11969846.189999998
271,ask,3602,119.95,432059.9,12401906.089999998
